sampleDate	variant	LocationID	LocationName	sample_id	sample_date	value	week	year	kw
2021-12-12	B.1.617.2	ATTP_1-00000050	Kläranlage Riedlingsdorf	CoV_21420_S105539	2021-12-12	0.98132	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000057	Kläranlage AWV Rotenturm	CoV_21360_S105441	2021-12-12	0.99369	49	2021	49/2021
2021-12-12	B.1.617.2	Liechtenstein	Liechtenstein	CoV_21440_S105464	2021-12-12	0.99253	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_2-K1944050	Abwasserverband Wörthersee West	CoV_23298_S107893	2021-12-12	0.98215	49	2021	49/2021_2
2021-12-12	B.1.617.2	ATTP_1-00000074	EMREG_BE_Wasserverband Wulkatal	CoV_21356_S105505	2021-12-12	0.99483	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-134	ARA GAV Marchfeld	CoV_21424_S105462	2021-12-12	0.99298	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-11	ARA AWV Schwechat	CoV_21373_S105533	2021-12-12	0.98966	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-104	ARA GAV Amstetten	CoV_21375_S105443	2021-12-12	0.99482	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000145	Kläranlage RHV Neusiedlersee-Westufer	CoV_21418_S105514	2021-12-12	0.99383	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000079	Kläranlage Glasing	CoV_21419_S105518	2021-12-12	0.99579	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000133	EMREG_BE_AWV Bezirk Jennersdorf	CoV_21357_S105531	2021-12-12	0.95873	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_2-K1931629	ARA Klagenfurt	CoV_23289_S107906	2021-12-12	0.98976	49	2021	49/2021_2
2021-12-12	B.1.617.2	ATTP_8-Bregenz	Bregenz	CoV_23263_S107892	2021-12-12	0.928754300422268	49	2021	49/2021
2021-12-13	B.1.617.2	ATTP_6-M3409760R0	RHV Leoben, Stadtgemeinde Leoben ARA Leoben 11/974	CoV_21404_S105525	2021-12-13	0.89748	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_6-M3453257R0	AWV Leibnitz-Wagna-Kaindorf ARA Wagna Leibnitz 10/1088	CoV_21405_S105546	2021-12-13	0.99446	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_21436_S105537	2021-12-13	0.99512	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_6-M3710856R0	AWV Feldbach-Mittleres Raabtal ARA Feldbach Raabau 4/435	CoV_21406_S105550	2021-12-13	0.9501	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_5-A2444685	ARA Zentralraum Lungau	CoV_21438_S105439	2021-12-13	0.97243	50	2021	50/2021_1
2021-12-13	B.1.617.2	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_21416_S105459	2021-12-13	0.98383	50	2021	50/2021_1
2021-12-13	B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21433_S105476	2021-12-13	0.99215	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_6-M3358117R0	AWV Leibnitzerfeld Süd ARA Strass 10/1414	CoV_21407_S105447	2021-12-13	0.97465	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21448_S105463	2021-12-13	0.99349	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_21447_S105452	2021-12-13	0.98684	50	2021	50/2021_1
2021-12-13	B.1.617.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669	CoV_21431_S105450	2021-12-13	0.98351	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_6-M3647058R0	WV Mürzverband, Gde. Kapfenberg ARA Kapfenberg Mürz IV 2/827	CoV_21403_S105524	2021-12-13	0.99365	50	2021	50/2021
2021-12-13	B.1.617.2	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_21415_S105448	2021-12-13	0.99099	50	2021	50/2021_1
2021-12-13	B.1.617.2	ATTP_6-M4343579	ARA Köflach-Gradnerbachtal 16/1143	CoV_21432_S105461	2021-12-13	0.99191	50	2021	50/2021
2021-12-14	B.1.617.2	ATTP_2-K1944050	Abwasserverband Wörthersee West	CoV_23299_S107905	2021-12-14	0.98279	50	2021	50/2021_1
2021-12-14	B.1.617.2	ATTP_8-Bregenz	Bregenz	CoV_23264_S107904	2021-12-14	0.93748	50	2021	50/2021_1
2021-12-14	B.1.617.2	ATTP_2-K1931629	ARA Klagenfurt	CoV_23290_S107918	2021-12-14	0.98181	50	2021	50/2021_1
2021-12-15	B.1.617.2	ATTP_3-403	ARA Mödling	CoV_21523_S105811	2021-12-15	0.96787	50	2021	50/2021_1
2021-12-15	B.1.617.2	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_21498_S105582	2021-12-15	0.95045	50	2021	50/2021_2
