variant	LocationID	LocationName	sample_id	sample_date	value
BA.1	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020		2021-12-06	0.0
BA.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020		2021-12-06	0.0
B.1.617.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_21509_S105617	2021-12-20	0.9954
BA.1	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020		2021-12-20	0.0
BA.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020		2021-12-20	0.0
B.1.617.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020		2022-01-18	0.0
BA.1	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_22754_S107044	2022-01-18	0.60657
BA.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_22754_S107044	2022-01-18	0.2515
B.1.617.2	ATTP_4-41303001	Aigen-Schlägl		2022-01-16	0.0
BA.1	ATTP_4-41303001	Aigen-Schlägl	CoV_22753_S107125	2022-01-16	0.510673109851223
BA.2	ATTP_4-41303001	Aigen-Schlägl	CoV_22753_S107125	2022-01-16	0.489320548431693
B.1.617.2	ATTP_3-77	ARA Gänserndorf	CoV_21285_S104849	2021-12-05	0.97998
BA.1	ATTP_3-77	ARA Gänserndorf		2021-12-05	0.0
BA.2	ATTP_3-77	ARA Gänserndorf		2021-12-05	0.0
BA.5	ATTP_3-77	ARA Gänserndorf		2021-12-05	0.0
B.1.617.2	ATTP_3-77	ARA Gänserndorf	CoV_21888_S105971	2022-01-02	0.0920455935902628
BA.1	ATTP_3-77	ARA Gänserndorf	CoV_21888_S105971	2022-01-02	0.907944921182504
BA.2	ATTP_3-77	ARA Gänserndorf		2022-01-02	0.0
BA.5	ATTP_3-77	ARA Gänserndorf		2022-01-02	0.0
B.1.617.2	ATTP_3-77	ARA Gänserndorf		2022-01-23	0.0
BA.1	ATTP_3-77	ARA Gänserndorf	CoV_23258_S108027	2022-01-23	0.94737
BA.2	ATTP_3-77	ARA Gänserndorf		2022-01-23	0.0
BA.5	ATTP_3-77	ARA Gänserndorf		2022-01-23	0.0
B.1.617.2	ATTP_3-77	ARA Gänserndorf		2022-01-30	0.0
BA.1	ATTP_3-77	ARA Gänserndorf	CoV_23799_S108233	2022-01-30	0.738403633086533
BA.2	ATTP_3-77	ARA Gänserndorf	CoV_23799_S108233	2022-01-30	0.261587531586295
BA.5	ATTP_3-77	ARA Gänserndorf		2022-01-30	0.0
B.1.617.2	ATTP_3-130	ARA Waidhofen an der Ybbs		2022-01-16	0.0
BA.1	ATTP_3-130	ARA Waidhofen an der Ybbs	CoV_22747_S107053	2022-01-16	0.96047
BA.2	ATTP_3-130	ARA Waidhofen an der Ybbs		2022-01-16	0.0
BA.5	ATTP_3-130	ARA Waidhofen an der Ybbs		2022-01-16	0.0
B.1.617.2	ATTP_3-130	ARA Waidhofen an der Ybbs		2022-01-27	0.0
BA.1	ATTP_3-130	ARA Waidhofen an der Ybbs	CoV_23798_S108221	2022-01-27	0.781478454407394
BA.2	ATTP_3-130	ARA Waidhofen an der Ybbs	CoV_23798_S108221	2022-01-27	0.199350111284251
BA.5	ATTP_3-130	ARA Waidhofen an der Ybbs	CoV_23798_S108221	2022-01-27	0.0191620074340331
B.1.617.2	ATTP_3-764	ARA Mistelbach		2022-01-20	0.0
BA.1	ATTP_3-764	ARA Mistelbach	CoV_23203_S108034	2022-01-20	0.92767
BA.2	ATTP_3-764	ARA Mistelbach		2022-01-20	0.0
B.1.617.2	ATTP_3-764	ARA Mistelbach	CoV_23759_S108230	2022-01-28	0.379069517567422
BA.1	ATTP_3-764	ARA Mistelbach	CoV_23759_S108230	2022-01-28	0.620920714613634
BA.2	ATTP_3-764	ARA Mistelbach		2022-01-28	0.0
B.1.617.2	ATTP_4-40831002	Aschachtal	CoV_21429_S105543	2021-12-12	0.95378
BA.1	ATTP_4-40831002	Aschachtal		2021-12-12	0.0
BA.2	ATTP_4-40831002	Aschachtal		2021-12-12	0.0
B.1.617.2	ATTP_4-40831002	Aschachtal	CoV_23248_S108004	2022-01-23	0.06293
BA.1	ATTP_4-40831002	Aschachtal	CoV_23248_S108004	2022-01-23	0.93644
BA.2	ATTP_4-40831002	Aschachtal		2022-01-23	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_21359_S105556	2021-12-12	0.99516
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf		2021-12-12	0.0
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2021-12-12	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_21457_S105721	2021-12-19	0.99552
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf		2021-12-19	0.0
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2021-12-19	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_22291_S106708	2022-01-09	0.206747466790791
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_22291_S106708	2022-01-09	0.793243581939919
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-09	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-16	0.0
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_22679_S107082	2022-01-16	0.95639
