sampleDate	variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value	week	year	kw
2021-01-03	B.1.1.153	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.093584	53	2020	53/2020
2021-01-03	B.1.1.7	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.469748188962528	53	2020	53/2020
2021-01-03	B.1.160	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.42493	53	2020	53/2020
2021-01-05	B.1.160	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3172_S75931	2021-01-05	0.516133060779146	1	2021	1/2021
2021-01-05	B.1.1.7	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3172_S75931	2021-01-05	0.483860366370669	1	2021	1/2021
2021-01-07	B.1.258	ATTP_2-K1931629	ARA Klagenfurt	CoV_3058_S75328	2021-01-07	0.794320074682872	1	2021	1/2021
2021-01-07	B.1.160	ATTP_2-K1931629	ARA Klagenfurt	CoV_3058_S75328	2021-01-07	0.205670773004338	1	2021	1/2021
2021-01-07	B.1.160	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_19660_S103345	2021-01-07	0.236793410624222	1	2021	1/2021
2021-01-07	B.1.177	ATTP_7-7101301	Innsbruck	CoV_19964_S103476	2021-01-07	0.29302646965026	1	2021	1/2021
2021-01-07	B.1.160	ATTP_7-7101301	Innsbruck	CoV_19964_S103476	2021-01-07	0.251816023528578	1	2021	1/2021
2021-01-07	B.1.1.7	ATTP_7-7101301	Innsbruck	CoV_19964_S103476	2021-01-07	0.26382835477127	1	2021	1/2021
2021-01-07	B.1.351	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_19660_S103345	2021-01-07	0.52179537564682	1	2021	1/2021
2021-01-07	B.1.258	ATTP_7-7101301	Innsbruck	CoV_19964_S103476	2021-01-07	0.191320293398533	1	2021	1/2021
2021-01-07	B.1.258	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_19660_S103345	2021-01-07	0.241403026134801	1	2021	1/2021
2021-01-09	B.1.160	ATTP_1-00000010	Kläranlage Eisenstadt	CoV_14762_S95628	2021-01-09	0.84509	1	2021	1/2021
2021-01-10	B.1.177	ATTP_2-K1939997	ARA Stadt Villach	CoV_3067_S75462	2021-01-10	0.090221	1	2021	1/2021
2021-01-10	B.1.258	ATTP_2-K1939997	ARA Stadt Villach	CoV_3067_S75462	2021-01-10	0.45133	1	2021	1/2021
2021-01-10	B.1.221	ATTP_2-K1939997	ARA Stadt Villach	CoV_3067_S75462	2021-01-10	0.062082	1	2021	1/2021
2021-01-10	B.1.160	ATTP_2-K1939997	ARA Stadt Villach	CoV_3067_S75462	2021-01-10	0.2246	1	2021	1/2021
2021-01-10	B.1.1.7	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_3064_S75397	2021-01-10	0.11665	1	2021	1/2021
2021-01-10	B.1.258	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_3064_S75397	2021-01-10	0.13142	1	2021	1/2021
2021-01-10	B.1.177	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_3068_S75366	2021-01-10	0.671076064049024	1	2021	1/2021
2021-01-10	B.1.160	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_3064_S75397	2021-01-10	0.20307	1	2021	1/2021
2021-01-10	B.1.160	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_3068_S75366	2021-01-10	0.19621429515744	1	2021	1/2021
2021-01-10	B.1.160	ATTP_8-Hofsteig	EMREG_BE_Wasserverband Hofsteig	CoV_3157_S75975	2021-01-10	0.455694478229141	1	2021	1/2021
2021-01-10	B.1.177	ATTP_8-Hofsteig	EMREG_BE_Wasserverband Hofsteig	CoV_3157_S75975	2021-01-10	0.439348090488932	1	2021	1/2021
2021-01-10	B.1.1.7	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_3068_S75366	2021-01-10	0.132701864078576	1	2021	1/2021
2021-01-10	B.1.258	ATTP_8-Hofsteig	EMREG_BE_Wasserverband Hofsteig	CoV_3157_S75975	2021-01-10	0.104947701289224	1	2021	1/2021
2021-01-11	B.1.1.7	ATTP_7-7404205	Going	CoV_2655_S75426	2021-01-11	0.68537	2	2021	2/2021
2021-01-11	B.1.160	ATTP_7-7411204	Kitzbühel	CoV_2654_S75415	2021-01-11	0.99665	2	2021	2/2021
2021-01-11	B.1.160	ATTP_4-40702001	Hallstättersee	CoV_3176_S75982	2021-01-11	0.53373598868212	2	2021	2/2021
2021-01-11	B.1.160	ATTP_7-7403201	Fieberbrunn	CoV_2658_S75477	2021-01-11	0.76699	2	2021	2/2021
2021-01-11	B.1.160	ATTP_7-7404205	Going	CoV_2655_S75426	2021-01-11	0.25183	2	2021	2/2021
2021-01-11	B.1.177	ATTP_4-40702001	Hallstättersee	CoV_3176_S75982	2021-01-11	0.466257965441772	2	2021	2/2021
2021-01-11	B.1.160	ATTP_7-7526104	Söll	CoV_2657_S75453	2021-01-11	0.538835619007138	2	2021	2/2021
2021-01-11	B.1.258	ATTP_7-7526104	Söll	CoV_2657_S75453	2021-01-11	0.461158130289658	2	2021	2/2021
2021-01-12	B.1.160	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3171_S75910	2021-01-12	0.60856	2	2021	2/2021
